           0 -0.976249993       36279.9336    
           1  -1.16437495       8675.56738    
           2  -1.23812497       9809.36914    
           3  -1.23812497       9809.36914    
           4  -1.24062502       9849.02344    
           5  -1.21937501       9514.51562    
           6  -1.24000001       9839.10156    
           7  -1.17812502       8881.67480    
           8  -1.15750003       8573.41992    
           9  -1.19562495       9147.49316    
          10  -1.24437499       9908.65332    
          11  -1.26374996       10219.6133    
          12  -1.20937502       9359.09961    
          13  -1.24437499       9908.65332    
          14  -1.20000005       9214.55957    
          15  -1.18937504       9052.10742    
          16  -1.18562496       8995.11719    
          17  -1.18312502       8957.22266    
          18  -1.19124997       9080.67090    
          19  -1.21249998       9407.53027    
          20  -1.22000003       9524.27148    
          21  -1.20687497       9320.44531    
          22  -1.21875000       9504.76465    
          23  -1.22000003       9524.27148    
          24  -1.17562497       8844.02051    
          25  -1.17375004       8815.83203    
          26  -1.18875003       9042.59668    
          27  -1.20187497       9243.37793    
          28  -1.18437505       8976.16016    
          29  -1.15562499       8545.66699    
          30  -1.14874995       8444.29102    
          31  -1.15687501       8564.16504    
          32  -1.20937502       9359.09961    
          33  -1.18875003       9042.59668    
          34  -1.18812501       9033.09082    
          35  -1.15562499       8545.66699    
          36  -1.15687501       8564.16504    
          37  -1.18250000       8947.76172    
          38  -1.16437495       8675.56738    
          39  -1.14999998       8462.67773    
          40  -1.15374994       8517.95898    
          41  -1.17687500       8862.83789    
          42  -1.16312504       8656.95020    
          43  -1.18124998       8928.85449    
          44  -1.20437503       9281.87207    
          45  -1.20687497       9320.44531    
          46  -1.19624996       9157.05957    
          47  -1.19687498       9166.62988    
          48  -1.16250002       8647.64844    
          49  -1.18375003       8966.68848    
          50  -1.19812500       9185.78711    
          51  -1.20249999       9252.99414    
          52  -1.18124998       8928.85449    
          53  -1.16125000       8629.06152    
          54  -1.14125001       8334.38770    
          55  -1.13937497       8307.02441    
          56  -1.13874996       8297.91309    
          57  -1.13999999       8316.14062    
          58  -1.18687499       9014.09473    
          59  -1.14062500       8325.26172    
          60  -1.16437495       8675.56738    
          61  -1.17562497       8844.02051    
          62  -1.16062498       8619.77539    
          63  -1.18062496       8919.40918    
          64  -1.14437497       8380.09277    
          65  -1.15937495       8601.21875    
          66  -1.15875006       8591.94727    
          67  -1.15374994       8517.95898    
          68  -1.15999997       8610.49414    
          69  -1.18375003       8966.68848    
          70  -1.17999995       8909.96777    
          71  -1.16687500       8712.86133    
          72  -1.17999995       8909.96777    
          73  -1.17999995       8909.96777    
          74  -1.19812500       9185.78711    
          75  -1.21249998       9407.53027    
          76  -1.15437496       8527.18945    
          77  -1.14437497       8380.09277    
          78  -1.11812496       8000.05273    
          79  -1.14312506       8361.79590    
          80  -1.17062497       8768.95215    
          81  -1.16062498       8619.77539    
          82  -1.13125002       8188.97021    
          83  -1.16062498       8619.77539    
          84  -1.15812504       8582.68164    
          85  -1.17437506       8825.22363    
          86  -1.16624999       8703.52930    
          87  -1.15312505       8508.73242    
          88  -1.16750002       8722.19629    
          89  -1.14874995       8444.29102    
          90  -1.14625001       8407.57617    
          91  -1.15875006       8591.94727    
          92  -1.16125000       8629.06152    
          93  -1.15499997       8536.42578    
          94  -1.13750005       8279.70605    
          95  -1.14937496       8453.48145    
          96  -1.14125001       8334.38770    
          97  -1.17187500       8787.68945    
          98  -1.18062496       8919.40918    
          99  -1.18624997       9004.60254    
         100  -1.16250002       8647.64844    
         101  -1.13999999       8316.14062    
         102  -1.15937495       8601.21875    
         103  -1.19250000       9099.73828    
         104  -1.18937504       9052.10742    
         105  -1.17999995       8909.96777    
         106  -1.19562495       9147.49316    
         107  -1.19812500       9185.78711    
         108  -1.20124996       9233.76660    
         109  -1.21000004       9368.77637    
         110  -1.21749997       9485.27734    
         111  -1.20937502       9359.09961    
         112  -1.22562504       9612.30078    
         113  -1.22874999       9661.37988    
         114  -1.23062503       9690.88770    
         115  -1.20000005       9214.55957    
         116  -1.19749999       9176.20605    
         117  -1.19375002       9118.82520    
         118  -1.15062499       8471.87793    
         119  -1.17437506       8825.22363    
         120  -1.16250002       8647.64844    
         121  -1.17875004       8891.10059    
         122  -1.18499994       8985.63574    
         123  -1.21124995       9388.14355    
         124  -1.22437501       9592.70312    
         125  -1.19937503       9204.96387    
         126  -1.18187499       8938.30566    
         127  -1.19937503       9204.96387    
         128  -1.18687499       9014.09473    
         129  -1.18624997       9004.60254    
         130  -1.17187500       8787.68945    
         131  -1.21062505       9378.45703    
         132  -1.16187501       8638.35254    
         133  -1.14312506       8361.79590    
         134  -1.17499995       8834.61914    
         135  -1.18187499       8938.30566    
         136  -1.14750004       8425.92383    
         137  -1.18062496       8919.40918    
         138  -1.17187500       8787.68945    
         139  -1.17312503       8806.44629    
         140  -1.16875005       8740.88379    
         141  -1.18499994       8985.63574    
         142  -1.20249999       9252.99414    
         143  -1.20062494       9224.16113    
         144  -1.19000006       9061.62402    
         145  -1.18875003       9042.59668    
         146  -1.16187501       8638.35254    
         147  -1.20687497       9320.44531    
         148  -1.21124995       9388.14355    
         149  -1.21375000       9426.93652    
         150  -1.20375001       9272.24121    
         151  -1.21687496       9475.54199    
         152  -1.22249997       9563.34570    
         153  -1.20937502       9359.09961    
         154  -1.19375002       9118.82520    
         155  -1.21562505       9456.08496    
         156  -1.19000006       9061.62402    
         157  -1.19687498       9166.62988    
         158  -1.18624997       9004.60254    
         159  -1.18437505       8976.16016    
         160  -1.19437504       9128.37598    
         161  -1.22062504       9534.03223    
         162  -1.20249999       9252.99414    
         163  -1.23125005       9700.73438    
         164  -1.21000004       9368.77637    
         165  -1.26937497       10310.7910    
         166  -1.25500000       10078.5850    
         167  -1.27812505       10453.4287    
         168  -1.26437497       10229.7236    
         169  -1.24687505       9948.50781    
         170  -1.24437499       9908.65332    
         171  -1.19624996       9157.05957    
         172  -1.17999995       8909.96777    
         173  -1.21687496       9475.54199    
         174  -1.22500002       9602.49902    
         175  -1.21562505       9456.08496    
         176  -1.20875001       9349.42871    
         177  -1.22249997       9563.34570    
         178  -1.22375000       9582.91211    
         179  -1.20749998       9330.10156    
         180  -1.18124998       8928.85449    
         181  -1.18124998       8928.85449    
         182  -1.22187495       9553.56934    
         183  -1.20187497       9243.37793    
         184  -1.21500003       9446.36328    
         185  -1.23749995       9799.46875    
         186  -1.24500000       9918.61035    
         187  -1.21937501       9514.51562    
         188  -1.20062494       9224.16113    
         189  -1.20562506       9301.14941    
         190  -1.22437501       9592.70312    
         191  -1.21562505       9456.08496    
         192  -1.24000001       9839.10156    
         193  -1.20562506       9301.14941    
         194  -1.19500005       9137.93262    
         195  -1.17937505       8900.53223    
         196  -1.17937505       8900.53223    
         197  -1.17062497       8768.95215    
         198  -1.18812501       9033.09082    
         199  -1.17750001       8872.25293    
         200  -1.17375004       8815.83203    
         201  -1.14874995       8444.29102    
         202  -1.16062498       8619.77539    
         203  -1.15437496       8527.18945    
         204  -1.13999999       8316.14062    
         205  -1.15875006       8591.94727    
         206  -1.15687501       8564.16504    
         207  -1.17750001       8872.25293    
         208  -1.16937494       8750.23535    
         209  -1.15937495       8601.21875    
         210  -1.15062499       8471.87793    
         211  -1.16812503       8731.53809    
         212  -1.18437505       8976.16016    
         213  -1.17750001       8872.25293    
         214  -1.16750002       8722.19629    
         215  -1.19062495       9071.14453    
         216  -1.21312499       9417.23047    
         217  -1.23874998       9819.27539    
         218  -1.21812499       9495.01953    
         219  -1.20375001       9272.24121    
         220  -1.20749998       9330.10156    
         221  -1.19375002       9118.82520    
         222  -1.19937503       9204.96387    
         223  -1.17750001       8872.25293    
         224  -1.18124998       8928.85449    
         225  -1.15999997       8610.49414    
         226  -1.15187502       8490.29492    
         227  -1.17124999       8778.31836    
         228  -1.15125000       8481.08496    
         229  -1.18562496       8995.11719    
         230  -1.19624996       9157.05957    
         231  -1.15812504       8582.68164    
         232  -1.15374994       8517.95898    
         233  -1.21937501       9514.51562    
         234  -1.18312502       8957.22266    
         235  -1.19812500       9185.78711    
         236  -1.24249995       9878.81641    
         237  -1.24000001       9839.10156    
         238  -1.18250000       8947.76172    
         239  -1.15374994       8517.95898    
         240  -1.17937505       8900.53223    
         241  -1.18499994       8985.63574    
         242  -1.17187500       8787.68945    
         243  -1.18312502       8957.22266    
         244  -1.20187497       9243.37793    
         245  -1.18937504       9052.10742    
         246  -1.17187500       8787.68945    
         247  -1.18812501       9033.09082    
         248  -1.18812501       9033.09082    
         249  -1.20687497       9320.44531    
         250  -1.19437504       9128.37598    
         251  -1.16312504       8656.95020    
         252  -1.17875004       8891.10059    
         253  -1.14687502       8416.74707    
         254  -1.15687501       8564.16504    
         255  -1.17124999       8778.31836    
         256  -1.17062497       8768.95215    
         257  -1.17250001       8797.06543    
         258  -1.16437495       8675.56738    
         259  -1.19500005       9137.93262    
         260  -1.18312502       8957.22266    
         261  -1.20062494       9224.16113    
         262  -1.15250003       8499.51172    
         263  -1.14687502       8416.74707    
         264  -1.14062500       8325.26172    
         265  -1.11749995       7991.11084    
         266  -1.14937496       8453.48145    
         267  -1.14062500       8325.26172    
         268  -1.14937496       8453.48145    
         269  -1.13562500       8252.43262    
         270  -1.15687501       8564.16504    
         271  -1.14750004       8425.92383    
         272  -1.18187499       8938.30566    
         273  -1.15187502       8490.29492    
         274  -1.16187501       8638.35254    
         275  -1.16937494       8750.23535    
         276  -1.18687499       9014.09473    
         277  -1.15499997       8536.42578    
         278  -1.16875005       8740.88379    
         279  -1.13250005       8207.07812    
         280  -1.13000000       8170.88330    
         281  -1.13937497       8307.02441    
         282  -1.14062500       8325.26172    
         283  -1.13937497       8307.02441    
         284  -1.14999998       8462.67773    
         285  -1.13374996       8225.20508    
         286  -1.17812502       8881.67480    
         287  -1.20312500       9262.61523    
         288  -1.18624997       9004.60254    
         289  -1.16937494       8750.23535    
         290  -1.16999996       8759.59082    
         291  -1.21624994       9465.81055    
         292  -1.22375000       9582.91211    
         293  -1.17250001       8797.06543    
         294  -1.16375005       8666.25586    
         295  -1.17750001       8872.25293    
         296  -1.20249999       9252.99414    
         297  -1.16999996       8759.59082    
         298  -1.18875003       9042.59668    
         299  -1.17187500       8787.68945    
         300  -1.18687499       9014.09473    
         301  -1.16999996       8759.59082    
         302  -1.16062498       8619.77539    
         303  -1.17312503       8806.44629    
         304  -1.19000006       9061.62402    
         305  -1.16499996       8684.88281    
         306  -1.20000005       9214.55957    
         307  -1.18624997       9004.60254    
         308  -1.16375005       8666.25586    
         309  -1.17187500       8787.68945    
         310  -1.15750003       8573.41992    
         311  -1.17250001       8797.06543    
         312  -1.19812500       9185.78711    
         313  -1.20437503       9281.87207    
         314  -1.18812501       9033.09082    
         315  -1.17062497       8768.95215    
         316  -1.15812504       8582.68164    
         317  -1.16437495       8675.56738    
         318  -1.15687501       8564.16504    
         319  -1.18562496       8995.11719    
         320  -1.13312495       8216.13867    
         321  -1.14937496       8453.48145    
         322  -1.15562499       8545.66699    
         323  -1.15125000       8481.08496    
         324  -1.14374995       8370.94141    
         325  -1.15312505       8508.73242    
         326  -1.17062497       8768.95215    
         327  -1.18750000       9023.58984    
         328  -1.14999998       8462.67773    
         329  -1.13812494       8288.80762    
         330  -1.17687500       8862.83789    
         331  -1.17312503       8806.44629    
         332  -1.18750000       9023.58984    
         333  -1.17375004       8815.83203    
         334  -1.20437503       9281.87207    
         335  -1.20437503       9281.87207    
         336  -1.18875003       9042.59668    
         337  -1.15999997       8610.49414    
         338  -1.11874998       8008.99854    
         339  -1.13250005       8207.07812    
         340  -1.13250005       8207.07812    
         341  -1.13562500       8252.43262    
         342  -1.11437500       7946.48096    
         343  -1.15625000       8554.91309    
         344  -1.17250001       8797.06543    
         345  -1.16750002       8722.19629    
         346  -1.14437497       8380.09277    
         347  -1.15937495       8601.21875    
         348  -1.16250002       8647.64844    
         349  -1.16687500       8712.86133    
