           0 -0.976249993       31501.3262    
           1  -1.20624995       9310.79492    
           2  -1.29375005       10710.5762    
           3  -1.30187500       10845.5273    
           4  -1.33124995       11340.4775    
           5  -1.29999995       10814.3096    
           6  -1.30624998       10918.5439    
           7  -1.28375006       10545.6416    
           8  -1.28875005       10627.9492    
           9  -1.32875001       11297.9248    
          10  -1.34249997       11532.9570    
          11  -1.35874999       11813.8438    
          12  -1.32312500       11202.4717    
          13  -1.33624995       11425.8252    
          14  -1.32437503       11223.6484    
          15  -1.31624997       11086.3574    
          16  -1.33624995       11425.8252    
          17  -1.33375001       11383.1104    
          18  -1.35187495       11694.5957    
          19  -1.37187505       12043.1807    
          20  -1.37374997       12076.1230    
          21  -1.38250005       12230.4492    
          22  -1.38999999       12363.5088    
          23  -1.39062500       12374.6289    
          24  -1.33312500       11372.4453    
          25  -1.32562494       11244.8457    
          26  -1.33062506       11329.8320    
          27  -1.34562504       11586.7119    
          28  -1.33749998       11447.2109    
          29  -1.30875003       10960.3770    
          30  -1.32500005       11234.2441    
          31  -1.31250000       11023.2773    
          32  -1.33249998       11361.7842    
          33  -1.32937503       11308.5547    
          34  -1.35062504       11672.9785    
          35  -1.33500004       11404.4580    
          36  -1.30250001       10855.9434    
          37  -1.36437500       11911.8613    
          38  -1.35625005       11770.4102    
          39  -1.35687494       11781.2617    
          40  -1.38499999       12274.7217    
          41  -1.37562501       12109.1104    
          42  -1.38187504       12219.3936    
          43  -1.40937495       12710.5762    
          44  -1.41187501       12755.7090    
          45  -1.43437505       13165.5049    
          46  -1.41750002       12857.5498    
          47  -1.41312504       12778.3057    
          48  -1.39187503       12396.8848    
          49  -1.38937497       12352.3916    
          50  -1.42062497       12914.3037    
          51  -1.44000006       13268.9668    
          52  -1.41125000       12744.4189    
          53  -1.39625001       12474.9404    
          54  -1.38937497       12352.3916    
          55  -1.39812505       12508.4678    
          56  -1.39437497       12441.4580    
          57  -1.38999999       12363.5088    
          58  -1.38999999       12363.5088    
          59  -1.37874997       12164.1885    
          60  -1.36937499       11999.3271    
          61  -1.39250004       12408.0205    
          62  -1.37625003       12120.1152    
          63  -1.38562500       12285.8027    
          64  -1.36125004       11857.3574    
          65  -1.37187505       12043.1807    
          66  -1.38999999       12363.5088    
          67  -1.36000001       11835.5908    
          68  -1.37937498       12175.2197    
          69  -1.40374994       12609.3193    
          70  -1.36937499       11999.3271    
          71  -1.37687504       12131.1270    
          72  -1.36874998       11988.3770    
          73  -1.36312497       11890.0439    
