           0 -0.976249993       23447.3555    
           1  -1.25250006       10038.4717    
           2  -1.37312496       12065.1367    
           3  -1.40437496       12620.5498    
           4  -1.45312500       13511.9512    
           5  -1.45937502       13628.4326    
           6  -1.46375000       13710.2676    
           7  -1.44687498       13395.9688    
           8  -1.46500003       13733.6934    
           9  -1.49249995       14254.1328    
          10  -1.51999998       14784.2490    
          11  -1.55999994       15572.6064    
          12  -1.54999995       15373.5977    
          13  -1.55124998       15398.4033    
          14  -1.52312505       14845.1025    
          15  -1.52187502       14820.7461    
          16  -1.55875003       15547.6602    
          17  -1.55812502       15535.1943    
          18  -1.57124996       15798.0215    
          19  -1.59312499       16240.9648    
          20  -1.59937501       16368.6445    
          21  -1.61812496       16754.6836    
          22  -1.61000001       16586.8477    
          23  -1.63687503       17145.2227    
          24  -1.60249996       16432.6719    
          25  -1.61125004       16612.6152    
          26  -1.61374998       16664.2070    
          27  -1.63062501       17014.5449    
          28  -1.63374996       17079.8203    
          29  -1.62187505       16832.4316    
          30  -1.61874998       16767.6289    
          31  -1.61374998       16664.2070    
          32  -1.61749995       16741.7422    
          33  -1.63312495       17066.7539    
          34  -1.61625004       16715.8789    
          35  -1.60500002       16483.9844    
          36  -1.57937503       15961.8281    
          37  -1.61812496       16754.6836    
          38  -1.60625005       16509.6699    
          39  -1.63625002       17132.1328    
          40  -1.63062501       17014.5449    
          41  -1.63625002       17132.1328    
          42  -1.64312506       17276.4023    
          43  -1.64062500       17223.8711    
          44  -1.64750004       17368.5254    
          45  -1.65812504       17593.2734    
          46  -1.64187503       17250.1270    
          47  -1.65812504       17593.2734    
          48  -1.62249994       16845.4062    
          49  -1.60749996       16535.3770    
          50  -1.61687505       16728.8066    
          51  -1.62249994       16845.4062    
          52  -1.62562501       16910.3594    
          53  -1.61437500       16677.1172    
          54  -1.61937499       16780.5801    
          55  -1.64750004       17368.5254    
          56  -1.64874995       17394.8906    
          57  -1.65374994       17500.5547    
          58  -1.66624999       17766.1133    
          59  -1.64187503       17250.1270    
          60  -1.62750006       16949.3906    
          61  -1.64437497       17302.6992    
          62  -1.64999998       17421.2773    
          63  -1.63750005       17158.3184    
          64  -1.61625004       16715.8789    
          65  -1.61687505       16728.8066    
          66  -1.63874996       17184.5254    
          67  -1.63750005       17158.3184    
          68  -1.65312505       17487.3301    
          69  -1.65999997       17633.0840    
