           0 -0.974444449       15470.3555    
           1  -1.20777774       5249.95947    
           2  -1.28333330       5927.35303    
           3  -1.32555556       6323.79395    
           4  -1.36777782       6733.06738    
           5  -1.36666667       6722.13232    
           6  -1.35888886       6645.83789    
           7  -1.37777781       6831.87939    
           8  -1.38666666       6920.31738    
           9  -1.39555550       7009.32324    
          10  -1.41333330       7189.04248    
          11  -1.40222228       7076.45166    
          12  -1.40666664       7121.38135    
          13  -1.39888895       7042.84766    
          14  -1.42333329       7291.13428    
          15  -1.41333330       7189.04248    
          16  -1.41999996       7257.02344    
          17  -1.40444446       7098.89844    
          18  -1.43888891       7451.37402    
          19  -1.44111109       7474.40771    
          20  -1.42444444       7302.52246    
          21  -1.41333330       7189.04248    
          22  -1.40777779       7132.63574    
          23  -1.42333329       7291.13428    
          24  -1.41333330       7189.04248    
          25  -1.43666661       7428.37598    
          26  -1.45888889       7659.95605    
          27  -1.44777775       7543.72168    
          28  -1.49777782       8073.77441    
          29  -1.49888885       8085.75781    
          30  -1.51555550       8266.57422    
          31  -1.49000001       7990.13965    
          32  -1.50555551       8157.84473    
          33  -1.46111107       7683.30957    
          34  -1.48222220       7906.94092    
          35  -1.45777774       7648.29297    
          36  -1.45777774       7648.29297    
          37  -1.45222223       7590.10889    
          38  -1.48333335       7918.79980    
          39  -1.46000004       7671.62793    
          40  -1.48222220       7906.94092    
          41  -1.50222218       8121.76074    
          42  -1.47888887       7871.41748    
          43  -1.52333331       8351.63965    
          44  -1.46333337       7706.69873    
          45  -1.46888888       7765.32666    
          46  -1.47555554       7835.97363    
          47  -1.47777772       7859.59424    
          48  -1.44666672       7532.14746    
          49  -1.49111116       8002.06104    
          50  -1.46333337       7706.69873    
          51  -1.49444449       8037.87793    
          52  -1.47000003       7777.07910    
          53  -1.47777772       7859.59424    
          54  -1.46555555       7730.12305    
          55  -1.46888888       7765.32666    
          56  -1.51222217       8230.25098    
          57  -1.48444450       7930.66748    
          58  -1.50777781       8181.94434    
          59  -1.52666664       8388.22852    
          60  -1.51333332       8242.34961    
          61  -1.56555557       8821.01953    
          62  -1.50111115       8109.75098    
          63  -1.51222217       8230.25098    
          64  -1.47555554       7835.97363    
          65  -1.44444442       7509.02490    
          66  -1.44222224       7485.93750    
          67  -1.44333339       7497.47705    
          68  -1.43555558       7416.89014    
          69  -1.39111114       6964.74951    
          70  -1.44888890       7555.30518    
          71  -1.45666671       7636.63770    
          72  -1.45222223       7590.10889    
          73  -1.48444450       7930.66748    
          74  -1.45888889       7659.95605    
          75  -1.43888891       7451.37402    
          76  -1.45555556       7624.99268    
          77  -1.46888888       7765.32666    
          78  -1.51111114       8218.16113    
          79  -1.51999998       8315.12988    
          80  -1.52777779       8400.44336    
          81  -1.49000001       7990.13965    
          82  -1.51444447       8254.45703    
          83  -1.54444444       8584.72559    
          84  -1.53777778       8510.77246    
          85  -1.58222222       9009.83398    
          86  -1.58555555       9047.83789    
          87  -1.57111108       8883.73535    
          88  -1.53666663       8498.47852    
          89  -1.55222225       8671.40820    
          90  -1.55888891       8746.05469    
          91  -1.51666665       8278.70020    
          92  -1.58666670       9060.52246    
          93  -1.56222224       8783.49707    
          94  -1.56777775       8846.08008    
          95  -1.52888894       8412.66699    
          96  -1.50999999       8206.08008    
          97  -1.50000000       8097.75000    
          98  -1.47555554       7835.97363    
          99  -1.48888886       7978.22754    
         100  -1.47666669       7847.77930    
         101  -1.46000004       7671.62793    
         102  -1.46333337       7706.69873    
         103  -1.46444440       7718.40674    
         104  -1.45777774       7648.29297    
         105  -1.49000001       7990.13965    
         106  -1.51555550       8266.57422    
         107  -1.53666663       8498.47852    
         108  -1.51888883       8302.97754    
         109  -1.48666668       7954.43018    
         110  -1.51333332       8242.34961    
         111  -1.50666666       8169.89014    
         112  -1.49222219       8013.99121    
         113  -1.49333334       8025.93018    
         114  -1.49555552       8049.83447    
         115  -1.49777782       8073.77441    
         116  -1.51777780       8290.83398    
         117  -1.55222225       8671.40820    
         118  -1.55555558       8708.69141    
         119  -1.55444443       8696.25488    
         120  -1.55555558       8708.69141    
         121  -1.52777779       8400.44336    
         122  -1.58333337       9022.49316    
         123  -1.55999994       8758.52637    
         124  -1.55333328       8683.82715    
         125  -1.56666672       8833.54590    
         126  -1.56888890       8858.62305    
         127  -1.57666671       8946.67383    
         128  -1.54111111       8547.70898    
         129  -1.55555558       8708.69141    
         130  -1.55999994       8758.52637    
         131  -1.57000005       8871.17480    
         132  -1.55222225       8671.40820    
         133  -1.55444443       8696.25488    
         134  -1.48777783       7966.32422    
         135  -1.48666668       7954.43018    
         136  -1.53888893       8523.07617    
         137  -1.53999996       8535.38770    
         138  -1.54333329       8572.37793    
         139  -1.55333328       8683.82715    
         140  -1.59111106       9111.35352    
         141  -1.55666661       8721.13672    
         142  -1.57222223       8896.30566    
         143  -1.56333339       8795.99609    
         144  -1.56333339       8795.99609    
         145  -1.54111111       8547.70898    
         146  -1.51333332       8242.34961    
         147  -1.53999996       8535.38770    
         148  -1.55777776       8733.59082    
         149  -1.56888890       8858.62305    
         150  -1.55888891       8746.05469    
         151  -1.53555560       8486.19238    
         152  -1.51111114       8218.16113    
         153  -1.54222226       8560.03906    
         154  -1.53999996       8535.38770    
         155  -1.52222228       8339.45996    
         156  -1.56222224       8783.49707    
         157  -1.55333328       8683.82715    
         158  -1.54888892       8634.20508    
         159  -1.49333334       8025.93018    
         160  -1.46888888       7765.32666    
         161  -1.52777779       8400.44336    
         162  -1.50999999       8206.08008    
