           0 -0.974444449       13138.7998    
           1  -1.25444448       5663.49756    
           2  -1.34333336       6494.55518    
           3  -1.38777781       6931.41211    
           4  -1.44000006       7462.88623    
           5  -1.43666661       7428.37598    
           6  -1.42111111       7268.38477    
           7  -1.46222222       7694.99951    
           8  -1.45444441       7613.35596    
           9  -1.46000004       7671.62793    
          10  -1.50222218       8121.76074    
          11  -1.47888887       7871.41748    
          12  -1.49111116       8002.06104    
          13  -1.46666670       7741.84912    
          14  -1.48777783       7966.32422    
          15  -1.50888884       8194.00781    
          16  -1.51999998       8315.12988    
          17  -1.53333330       8461.64844    
          18  -1.54222226       8560.03906    
          19  -1.53111112       8437.13965    
          20  -1.50999999       8206.08008    
          21  -1.52111113       8327.29102    
          22  -1.50444448       8145.80811    
          23  -1.52444446       8363.82715    
          24  -1.52999997       8424.89941    
          25  -1.55111110       8658.99805    
          26  -1.53111112       8437.13965    
          27  -1.51999998       8315.12988    
          28  -1.56333339       8795.99609    
          29  -1.55666661       8721.13672    
          30  -1.59000003       9098.63184    
          31  -1.57444441       8921.47266    
          32  -1.61222219       9354.73828    
          33  -1.59555554       9162.32520    
          34  -1.58222222       9009.83398    
          35  -1.58222222       9009.83398    
          36  -1.57777774       8959.28809    
          37  -1.56777775       8846.08008    
          38  -1.59777772       9187.86523    
          39  -1.56222224       8783.49707    
          40  -1.56333339       8795.99609    
          41  -1.58888888       9085.91992    
          42  -1.56666672       8833.54590    
          43  -1.62888885       9549.15137    
          44  -1.58444440       9035.16016    
          45  -1.58666670       9060.52246    
          46  -1.59888887       9200.64746    
          47  -1.59555554       9162.32520    
          48  -1.57222223       8896.30566    
          49  -1.58888888       9085.91992    
          50  -1.58666670       9060.52246    
          51  -1.61666667       9406.38672    
          52  -1.57444441       8921.47266    
          53  -1.57333338       8908.88477    
          54  -1.55555558       8708.69141    
          55  -1.55888891       8746.05469    
          56  -1.63444448       9614.39941    
          57  -1.60111105       9226.24121    
          58  -1.62444448       9497.11230    
          59  -1.59555554       9162.32520    
          60  -1.59222221       9124.08301    
          61  -1.63222218       9588.27344    
          62  -1.59888887       9200.64746    
          63  -1.60333335       9251.87012    
          64  -1.62444448       9497.11230    
          65  -1.60555553       9277.53320    
          66  -1.60888886       9316.09570    
          67  -1.60666668       9290.37891    
          68  -1.61444449       9380.54492    
          69  -1.61555552       9393.46094    
          70  -1.61333334       9367.63770    
          71  -1.64222217       9706.12012    
          72  -1.62666667       9523.11328    
          73  -1.66111112       9930.68457    
          74  -1.64888895       9785.08594    
          75  -1.63333333       9601.33203    
          76  -1.63444448       9614.39941    
          77  -1.64999998       9798.27734    
          78  -1.66999996       10037.2510    
          79  -1.66555560       9983.89648    
          80  -1.65444446       9851.13379    
          81  -1.66111112       9930.68457    
          82  -1.67111111       10050.6113    
          83  -1.64888895       9785.08594    
          84  -1.64555550       9745.56348    
          85  -1.66888893       10023.8994    
          86  -1.67777777       10130.9629    
          87  -1.66222227       9943.97461    
          88  -1.63444448       9614.39941    
          89  -1.65666664       9877.61621    
          90  -1.65333331       9837.90625    
          91  -1.62888885       9549.15137    
          92  -1.66111112       9930.68457    
          93  -1.67222226       10063.9814    
          94  -1.68555558       10225.1104    
          95  -1.64666665       9758.72852    
          96  -1.62666667       9523.11328    
          97  -1.62000000       9445.21582    
          98  -1.59222221       9124.08301    
          99  -1.62222219       9471.14551    
         100  -1.62666667       9523.11328    
         101  -1.62111115       9458.17676    
         102  -1.60111105       9226.24121    
         103  -1.59000003       9098.63184    
         104  -1.59555554       9162.32520    
         105  -1.60000002       9213.44043    
         106  -1.62222219       9471.14551    
         107  -1.65222228       9824.68848    
         108  -1.64999998       9798.27734    
         109  -1.63000000       9562.18262    
         110  -1.64888895       9785.08594    
         111  -1.63333333       9601.33203    
         112  -1.61222219       9354.73828    
         113  -1.62555552       9510.10840    
         114  -1.63666666       9640.56152    
         115  -1.63666666       9640.56152    
         116  -1.62666667       9523.11328    
         117  -1.65666664       9877.61621    
         118  -1.67444444       10090.7471    
         119  -1.68111110       10171.2578    
         120  -1.65222228       9824.68848    
         121  -1.62666667       9523.11328    
         122  -1.66444445       9970.58105    
         123  -1.66111112       9930.68457    
         124  -1.65222228       9824.68848    
         125  -1.67222226       10063.9814    
         126  -1.64777780       9771.90332    
         127  -1.69333339       10319.6924    
         128  -1.68555558       10225.1104    
         129  -1.67777777       10130.9629    
