           0 -0.974444449       17651.8672    
           1  -1.17777777       4992.39062    
           2  -1.22444439       5395.85205    
           3  -1.26666665       5774.39551    
           4  -1.28666663       5958.18457    
           5  -1.29777777       6061.53369    
           6  -1.29333329       6020.08691    
           7  -1.30111110       6092.71143    
           8  -1.29333329       6020.08691    
           9  -1.28333330       5927.35303    
          10  -1.32222223       6292.02979    
          11  -1.34222221       6483.81592    
          12  -1.33777773       6440.94824    
          13  -1.34555554       6516.06055    
          14  -1.37666667       6820.86475    
          15  -1.35000002       6559.17773    
          16  -1.35555553       6613.27393    
          17  -1.34000003       6462.36475    
          18  -1.35000002       6559.17773    
          19  -1.34777772       6537.60156    
          20  -1.34666669       6526.82666    
          21  -1.33222222       6387.56299    
          22  -1.30999994       6176.24365    
          23  -1.34111106       6473.08594    
          24  -1.32888889       6355.63818    
          25  -1.35111105       6569.97900    
          26  -1.36444449       6700.28906    
          27  -1.39111114       6964.74951    
          28  -1.41666663       7222.99316    
          29  -1.38666666       6920.31738    
          30  -1.40666664       7121.38135    
          31  -1.40666664       7121.38135    
          32  -1.38777781       6931.41211    
          33  -1.31777775       6249.80127    
          34  -1.32666671       6334.39990    
          35  -1.34222221       6483.81592    
          36  -1.35444450       6602.43652    
          37  -1.34111106       6473.08594    
          38  -1.33111107       6376.91260    
          39  -1.31888890       6260.34521    
          40  -1.34111106       6473.08594    
          41  -1.38666666       6920.31738    
          42  -1.35444450       6602.43652    
          43  -1.41888893       7245.67139    
          44  -1.36666667       6722.13232    
          45  -1.31777775       6249.80127    
          46  -1.30333328       6113.54150    
          47  -1.31777775       6249.80127    
          48  -1.29777777       6061.53369    
          49  -1.34555554       6516.06055    
          50  -1.33444440       6408.89014    
          51  -1.35777783       6634.97412    
          52  -1.34111106       6473.08594    
          53  -1.35222220       6580.78906    
          54  -1.32777774       6345.01465    
          55  -1.34666669       6526.82666    
          56  -1.33222222       6387.56299    
          57  -1.37222219       6776.89502    
          58  -1.39333332       6987.01855    
          59  -1.41666663       7222.99316    
          60  -1.42222226       7279.75488    
          61  -1.44777775       7543.72168    
          62  -1.41555560       7211.66699    
          63  -1.39222217       6975.87939    
          64  -1.36444449       6700.28906    
          65  -1.37333333       6787.87354    
          66  -1.35444450       6602.43652    
          67  -1.33000004       6366.27100    
          68  -1.30555558       6134.40674    
          69  -1.28444445       5937.62109    
          70  -1.34555554       6516.06055    
          71  -1.33333337       6398.22217    
          72  -1.30888891       6165.77100    
          73  -1.36888885       6744.01025    
          74  -1.36555552       6711.20654    
          75  -1.35333335       6591.60840    
          76  -1.36000001       6656.71045    
          77  -1.35000002       6559.17773    
          78  -1.38000000       6853.93555    
          79  -1.38555551       6909.23096    
          80  -1.38111115       6864.97705    
          81  -1.36111116       6667.59180    
          82  -1.37111115       6765.92480    
          83  -1.36111116       6667.59180    
          84  -1.36444449       6700.28906    
          85  -1.37222219       6776.89502    
          86  -1.39888895       7042.84766    
          87  -1.39888895       7042.84766    
          88  -1.40777779       7132.63574    
          89  -1.40333331       7087.67090    
          90  -1.42333329       7291.13428    
          91  -1.37111115       6765.92480    
          92  -1.39444447       6998.16699    
          93  -1.40444446       7098.89844    
          94  -1.41777778       7234.32764    
          95  -1.37888885       6842.90332    
          96  -1.32222223       6292.02979    
          97  -1.29777777       6061.53369    
          98  -1.29333329       6020.08691    
          99  -1.33000004       6366.27100    
         100  -1.33444440       6408.89014    
