          0.00000000          3.97131348
         75.00000000          4.48553181
        150.00000000      14264.87890625
        225.00000000          5.44785261
        300.00000000      55521.98437500
        375.00000000          1.46441233
        450.00000000      13958.84667969
        525.00000000          0.67029285
        600.00000000          2.73003507
        675.00000000          6.99129677
        750.00000000      12106.49121094
        825.00000000          7.20626116
        900.00000000      46336.68359375
        975.00000000          0.16260508
       1050.00000000      11346.92675781
       1125.00000000          0.82283711
       1200.00000000          0.56041610
       1275.00000000          5.36418867
       1350.00000000       8523.41406250
       1425.00000000          4.99838066
       1500.00000000      32257.81835938
       1575.00000000          4.22835350
       1650.00000000       7650.73974609
       1725.00000000          6.65660477
       1800.00000000          0.21988651
       1875.00000000          1.79800224
       1950.00000000       4959.35888672
       2025.00000000          1.48996210
       2100.00000000      18697.85156250
       2175.00000000         11.34479618
       2250.00000000       4261.57763672
       2325.00000000         14.57206821
       2400.00000000          2.57992864
       2475.00000000          0.04329822
       2550.00000000       2366.24194336
       2625.00000000          0.04377892
       2700.00000000       8989.68554688
       2775.00000000         17.01052475
       2850.00000000       1944.09655762
       2925.00000000         19.74464417
       3000.00000000          6.10238981
       3075.00000000          1.29074752
       3150.00000000        910.51025391
       3225.00000000          1.38056719
       3300.00000000       3556.58862305
       3375.00000000         18.73745155
       3450.00000000        712.69067383
       3525.00000000         20.33540916
       3600.00000000          8.77462006
       3675.00000000          4.00149107
       3750.00000000        271.76879883
       3825.00000000          3.92431736
       3900.00000000       1137.48986816
       3975.00000000         17.10445404
       4050.00000000        200.53643799
       4125.00000000         17.68501472
       4200.00000000          9.75417042
       4275.00000000          6.25688744
       4350.00000000         56.50801849
       4425.00000000          5.97641373
       4500.00000000        281.41607666
       4575.00000000         14.03556728
       4650.00000000         37.91475296
       4725.00000000         14.03234673
       4800.00000000          9.38942051
       4875.00000000          7.28137922
       4950.00000000          5.37748718
       5025.00000000          6.91142368
       5100.00000000         47.22685242
       5175.00000000         11.05299187
       5250.00000000          2.70503068
       5325.00000000         10.83353233
       5400.00000000          8.41716194
       5475.00000000          7.30395508
       5550.00000000          0.35460913
       5625.00000000          6.95884132
       5700.00000000          3.00817037
       5775.00000000          8.78322124
       5850.00000000          0.70360291
       5925.00000000          8.54133415
       6000.00000000          7.38505888
       6075.00000000          6.84359074
       6150.00000000          2.86263585
       6225.00000000          6.57530880
       6300.00000000          0.79465193
       6375.00000000          7.25554323
       6450.00000000          3.19514966
       6525.00000000          7.05890036
       6600.00000000          6.53489685
       6675.00000000          6.28011513
       6750.00000000          4.60513878
       6825.00000000          6.09078932
       6900.00000000          3.28318048
       6975.00000000          6.28430271
       7050.00000000          4.65049458
       7125.00000000          6.14110470
       7200.00000000          5.90889263
       7275.00000000          5.78630686
       7350.00000000          5.17105293
       7425.00000000          5.65788651
       7500.00000000          4.60443783
       7575.00000000          5.67379475
       7650.00000000          5.08642960
       7725.00000000          5.57323742
       7800.00000000          5.46779299
       7875.00000000          5.40388823
       7950.00000000          5.18834686
       8025.00000000          5.31652689
       8100.00000000          4.96226263
       8175.00000000          5.28088474
       8250.00000000          5.07866049
       8325.00000000          5.20990753
       8400.00000000          5.15753651
       8475.00000000          5.11996222
       8550.00000000          5.04036617
       8625.00000000          5.05870962
       8700.00000000          4.94101477
       8775.00000000          5.01571083
       8850.00000000          4.94250727
       8925.00000000          4.96418047
       9000.00000000          4.93415594
       9075.00000000          4.90915632
       9150.00000000          4.87380695
       9225.00000000          4.86433315
       9300.00000000          4.82007694
       9375.00000000          4.82634354
       9450.00000000          4.79442167
       9525.00000000          4.78749466
       9600.00000000          4.76746893
       9675.00000000          4.74920034
       9750.00000000          4.72880793
       9825.00000000          4.71496058
       9900.00000000          4.69313002
       9975.00000000          4.68370247
      10050.00000000          4.66540766
      10125.00000000          4.65337467
      10200.00000000          4.63845587
      10275.00000000          4.62424469
      10350.00000000          4.60984421
      10425.00000000          4.59706926
      10500.00000000          4.58284616
      10575.00000000          4.57156467
      10650.00000000          4.55858278
      10725.00000000          4.54712534
      10800.00000000          4.53528070
      10875.00000000          4.52376270
      10950.00000000          4.51247692
      11025.00000000          4.50161552
      11100.00000000          4.49071407
      11175.00000000          4.48052549
      11250.00000000          4.47020960
      11325.00000000          4.46036339
      11400.00000000          4.45053005
      11475.00000000          4.44100952
      11550.00000000          4.43161440
      11625.00000000          4.42249060
      11700.00000000          4.41346836
      11775.00000000          4.40475273
      11850.00000000          4.39611435
      11925.00000000          4.38773060
      12000.00000000          4.37943840
      12075.00000000          4.37132215
      12150.00000000          4.36338091
      12225.00000000          4.35556412
      12300.00000000          4.34790516
      12375.00000000          4.34041214
      12450.00000000          4.33301783
      12525.00000000          4.32576704
      12600.00000000          4.31863213
      12675.00000000          4.31164932
      12750.00000000          4.30477428
      12825.00000000          4.29800797
      12900.00000000          4.29136229
      12975.00000000          4.28483677
      13050.00000000          4.27840662
      13125.00000000          4.27206707
      13200.00000000          4.26584339
      13275.00000000          4.25971508
      13350.00000000          4.25369263
      13425.00000000          4.24774075
      13500.00000000          4.24192333
      13575.00000000          4.23612976
      13650.00000000          4.23046970
      13725.00000000          4.22487974
      13800.00000000          4.21936941
      13875.00000000          4.21391058
      13950.00000000          4.20857716
      14025.00000000          4.20329762
      14100.00000000          4.19809055
      14175.00000000          4.19294214
      14250.00000000          4.18784046
      14325.00000000          4.18287086
      14400.00000000          4.17791080
      14475.00000000          4.17305756
      14550.00000000          4.16823101
      14625.00000000          4.16346407
      14700.00000000          4.15875626
      14775.00000000          4.15413284
      14850.00000000          4.14956331
