          -1          -1           1
          -1          -1           0
          -2           0           1
          -1           0           1
           0          -1           0
           0           0          -1
           0          -1          -1
           1          -1           0
           2          -1          -1
           2          -1           0
           3           0          -1
           2           1          -2
           2           2          -1
           2           1           0
           3           2           0
           2           2           1
           1           2           2
           1           1           1
           1           0           1
           2           1           0
           3           1           0
           2           2           0
           1           1           1
           0           1           1
          -1           2           1
          -1           3           0
           0           4           1
          -1           3           2
           0           3           3
           1           4           4
           0           3           4
           0           3           5
           0           4           4
           0           4           4
          -1           3           3
          -1           4           2
          -1           4           3
           0           4           4
           0           5           3
          -1           6           2
          -2           5           1
          -2           4           2
          -1           3           1
          -2           4           1
          -3           5           1
          -3           5           0
          -3           6           0
          -2           6          -1
          -1           6          -2
          -1           5          -2
          -1           6          -3
          -2           5          -3
          -3           5          -3
          -2           4          -3
          -2           3          -4
          -1           3          -5
           0           3          -6
           1           2          -7
           0           2          -8
          -1           3          -8
          -1           3          -7
           0           3          -8
           1           4          -9
           2           4          -9
           2           5          -8
           2           6          -8
           2           7          -7
           3           8          -6
           4           7          -6
           4           6          -6
           4           7          -6
           5           8          -5
           6           9          -4
           5          10          -4
           5           9          -3
           5          10          -2
           4          11          -1
           5          11          -2
           5          12          -3
           5          11          -3
           6          11          -3
           7          11          -4
           8          10          -4
           8           9          -5
           9          10          -6
           9          11          -5
           8          12          -4
           9          11          -5
          10          11          -6
           9          10          -6
          10          11          -6
           9          12          -7
          10          13          -7
           9          12          -8
           8          13          -9
           9          12          -9
           9          11          -8
           8          12          -9
           7          11         -10
           7          12          -9
           8          13          -8
           8          12          -8
           7          11          -7
           6          12          -7
           6          12          -8
           7          11          -9
           7          12          -8
           7          13          -9
           6          13         -10
           6          13         -10
           5          13         -10
           5          13         -10
           4          12         -10
           3          13          -9
           3          14          -8
           4          14          -7
           3          14          -7
           3          14          -7
           4          13          -6
           4          13          -6
           5          12          -7
           5          12          -6
           4          13          -7
           5          14          -7
           6          13          -8
           7          14          -8
           7          15          -7
           8          14          -6
           7          13          -6
           6          12          -5
           7          13          -5
           6          13          -5
           5          13          -5
