          -1           1           1   5.00000000    
          -1           2           2   5.00000000    
           1           0           0   5.00000000    
           1           1           0   5.00000000    
           2           0           1   5.00000000    
           3          -1           0   5.00000000    
           0           3           3   5.00000000    
           2          -1           0   5.00000000    
           1          -1           0   5.00000000    
          -1           0           2   5.00000000    
           2          -1          -1   5.00000000    
           3           1           1   5.00000000    
          -1          -1           1   5.00000000    
          -1          -1           0   5.00000000    
           3          -1           2   5.00000000    
          -1          -1           3   5.00000000    
          -1          -2           1   5.00000000    
           2          -2           2   5.00000000    
           1           0          -2   5.00000000    
           0          -1          -3   5.00000000    
           0          -2           4   5.00000000    
          -1          -1           5   5.00000000    
          -2          -1           0   10.1961517    
          -1           1          -1   10.1961517    
          -1          -3           1   10.1961517    
           4          -2           0   10.1961517    
          -2           1           2   10.1961517    
           5          -3           1   10.1961517    
          -3           2           1   10.1961517    
           2           0          -3   10.1961517    
           1           4           3   10.1961517    
          -2           2          -2   10.1961517    
          -1          -3           2   10.1961517    
           1           5           3   10.1961517    
           2          -1          -4   10.1961517    
           2          -1           0   10.1961517    
          -3           3          -3   10.1961517    
           6          -4           0   10.1961517    
           7          -3           0   10.1961517    
           3           0          -5   10.1961517    
           2           1           1   10.1961517    
          -3           3          -4   10.1961517    
           5          -5           0   10.1961517    
           0           3           3   10.1961517    
           4           1          -6   10.1961517    
           2           3           4   10.1961517    
           1           6           4   10.1961517    
           5           2          -5   10.1961517    
           0           6           4   10.1961517    
           3           0          -7   10.1961517    
          -2           3           2   10.1961517    
           1          -1           3   10.1961517    
           3          -3           1   10.1961517    
           4          -1          -8   10.1961517    
           1           4           2   10.1961517    
           4           0          -7   10.1961517    
           2          -3           3   10.1961517    
           0          -4           2   10.1961517    
           2           2          -1   10.1961517    
           3          -2           4   10.1961517    
          -2           4          -5   10.1961517    
          -1          -1          -3   10.1961517    
          -1           3          -6   10.1961517    
           7          -2           1   10.1961517    
          -1           4           3   10.1961517    
           6          -4          -1   10.1961517    
           5           1          -7   10.1961517    
          -1           3          -2   10.1961517    
           2           5           3   10.1961517    
           6           2          -7   10.1961517    
           5          -2          -7   10.1961517    
           3           1          -8   10.1961517    
          -2          -2           2   10.1961517    
           7          -3          -2   10.1961517    
          -1           5           2   10.1961517    
           0          -2           6   10.1961517    
           2           1          -9   10.1961517    
          -4           2          -4   10.1961517    
           1           2          -9   10.1961517    
          -5           1          -4   10.1961517    
           6           0          -6   10.1961517    
           1           1           1   10.1961517    
           5          -3          -7   10.1961517    
          -1          -3           7   10.1961517    
           8          -2          -2   10.1961517    
           9          -1          -1   10.1961517    
           1           5           5   10.1961517    
           4           0           0   10.1961517    
          -3           1           0   10.1961517    
          -2          -4           8   10.1961517    
           8          -1           1   10.1961517    
           0          -4           7   10.1961517    
           2           4           6   10.1961517    
          -1          -2           1   10.1961517    
           8          -1          -3   10.1961517    
           0           0           0   10.1961517    
           3           4           6   10.1961517    
           1          -4           4   10.1961517    
          -1           6           1   10.1961517    
          -4           2          -5   10.1961517    
           1          -4           6   10.1961517    
          -1           5          -5   10.1961517    
           9          -2           1   10.1961517    
           4          -2          -6   10.1961517    
           4           4           7   10.1961517    
           2           5           7   10.1961517    
           3           2           2   10.1961517    
           3           2          -2   10.1961517    
           0          -3           5   10.1961517    
           0          -1           0   10.1961517    
           4           2          -2   10.1961517    
           1           7           4   10.1961517    
          -6           0          -5   10.1961517    
          -3          -3           3   10.1961517    
           3           0         -10   10.1961517    
          -1           5           5   15.4403067    
           1          -5           7   15.4403067    
           4           5           8   15.4403067    
           5           2          -8   15.4403067    
           4          -1          -4   15.4403067    
          -1           2          -1   15.4403067    
           6           1          -4   15.4403067    
           9           0           1   15.4403067    
           1           7           3   15.4403067    
          -5           2          -3   15.4403067    
           3           6           7   15.4403067    
           3           5           2   15.4403067    
