           1  -1.06172822E-02  -4.93827183E-03
           2  -4.69136098E-03   2.66666673E-02
           3  -1.30864149E-02   3.85185182E-02
           4  -2.56113708E-09  -1.72839500E-02
           5  -2.46915675E-04   1.18518518E-02
           6  -6.41975645E-03   1.48148148E-03
           7  -9.87656415E-04   6.91358047E-03
           8  -3.70370643E-03  -1.72839500E-02
           9  -5.18518826E-03  -3.80246900E-02
          10  -1.06172832E-02  -1.87654328E-02
          11  -5.92592917E-03  -2.02469137E-02
          12  -5.92592917E-03  -4.14814800E-02
          13   7.65432045E-03  -2.66666673E-02
          14   3.08642164E-02  -8.29629600E-02
          15   2.29629651E-02  -2.66666673E-02
          16   1.87654253E-02  -2.96296291E-02
          17   1.87654253E-02  -6.91358047E-03
          18  -6.91358279E-03   9.38271638E-03
          19  -1.55555466E-02  -1.03703700E-02
          20  -1.62962880E-02  -4.49382700E-02
          21  -1.11111095E-02  -3.20987664E-02
          22   7.65431998E-03  -3.99999991E-02
          23   2.22222088E-03  -1.28395064E-02
          24  -2.83950791E-02  -4.93827164E-02
          25  -2.34567970E-02  -4.64197546E-02
          26  -2.22222460E-03  -4.19753082E-02
          27  -1.77777726E-02  -5.18518500E-02
          28  -1.20987622E-02  -5.23456782E-02
          29   6.41975226E-03  -6.61728382E-02
          30  -5.92592824E-03  -7.55555555E-02
          31  -1.06172832E-02  -7.16049373E-02
          32   3.95061541E-03  -4.34567891E-02
          33   7.90123362E-03  -5.48148155E-02
          34  -8.88889004E-03  -5.53086437E-02
          35  -6.66667009E-03  -5.72839491E-02
          36  -1.43209808E-02  -6.32098764E-02
          37  -1.30864149E-02  -8.24691355E-02
          38  -1.72839444E-02  -7.80246928E-02
          39  -1.48148369E-03  -9.58024710E-02
          40  -6.91358373E-03  -9.58024710E-02
          41  -5.67901554E-03  -8.59259292E-02
          42  -1.75308585E-02  -9.23456773E-02
          43  -1.50617203E-02  -7.75308609E-02
          44  -9.13580414E-03  -7.11111128E-02
          45  -1.35802412E-02  -9.13580284E-02
          46   4.93827043E-03 -0.107654318    
          47  -3.95062007E-03  -8.69135782E-02
          48  -2.46913824E-03  -9.33333337E-02
          49   9.87653900E-03  -8.14814791E-02
          50  -6.66666916E-03  -9.82716084E-02
          51  -1.50617203E-02  -9.08641964E-02
          52  -1.48148369E-03  -7.20987618E-02
          53   1.82715971E-02  -8.14814791E-02
          54  -2.71605141E-03  -9.77777764E-02
